state_ut,year,fraud_type,cases_registered,cases_chargesheeted,cases_convicted,persons_arrested,amount_saved_inr,complaints_count
Jharkhand,2022,Identity Theft,17,8,0.0,8,1238322.47,22
Manipur,2024,OTP Fraud,11,5,0.0,5,193350.02,14
Telangana,2024,Card Fraud,204,125,12.0,118,5791859.25,371
Uttarakhand,2019,Card Fraud,6,4,0.0,7,169065.3,7
Sikkim,2019,Online Banking Fraud,2,1,0.0,2,153897.01,3
Maharashtra,2019,OTP Fraud,142,65,5.0,94,1396454.87,220
West Bengal,2023,Online Banking Fraud,114,57,8.0,49,8442305.41,169
Karnataka,2022,UPI Fraud,304,146,10.0,176,2497334.59,416
Punjab,2020,UPI Fraud,28,12,1.0,19,187754.41,37
Bihar,2021,Identity Theft,22,13,0.0,15,1084190.79,31
Goa,2021,UPI Fraud,11,4,1.0,3,73997.35,15
Uttarakhand,2020,UPI Fraud,11,4,0.0,4,78427.72,17
Goa,2022,Online Banking Fraud,10,6,1.0,7,,18
Tamil Nadu,2023,Identity Theft,96,62,7.0,71,4813335.54,113
Karnataka,2024,OTP Fraud,313,188,11.0,294,5593254.69,408
Uttar Pradesh,2022,Identity Theft,111,60,3.0,108,5343493.31,161
Karnataka,2021,Card Fraud,91,60,4.0,94,2238978.14,159
Punjab,2023,Other,34,17,2.0,20,416747.25,56
Himachal Pradesh,2021,Online Banking Fraud,10,5,1.0,5,491342.53,15
Bihar,2024,Other,45,24,1.0,28,976777.62,65
Telangana,2022,Other,87,29,4.0,46,1342787.58,108
Uttarakhand,2020,Card Fraud,10,7,1.0,10,264177.54,13
Andhra Pradesh,2023,Identity Theft,37,19,2.0,23,2351294.48,53
Haryana,2023,Card Fraud,85,46,5.0,50,1811298.85,114
Gujarat,2023,Other,73,43,3.0,74,1333777.54,112
Mizoram,2021,Card Fraud,2,1,0.0,1,53341.25,3
Goa,2021,Other,3,1,0.0,1,39032.14,4
Odisha,2023,Card Fraud,42,25,3.0,44,836682.3,54
Himachal Pradesh,2022,UPI Fraud,30,13,1.0,20,269502.58,52
Manipur,2024,Card Fraud,6,3,0.0,4,175077.74,9
Nagaland,2022,OTP Fraud,8,3,0.0,4,152413.62,10
Jharkhand,2021,UPI Fraud,20,9,0.0,17,121184.62,31
Tripura,2019,Card Fraud,2,1,0.0,1,44101.2,3
Rajasthan,2022,OTP Fraud,159,77,6.0,102,2947555.8,226
Meghalaya,2024,Other,4,2,0.0,3,94596.84,6
Uttarakhand,2024,OTP Fraud,41,20,1.0,34,356942.64,69
Madhya Pradesh,2023,Other,72,35,3.0,40,1122732.71,96
Odisha,2024,OTP Fraud,69,37,4.0,42,752319.73,88
Assam,2020,Online Banking Fraud,21,11,1.0,19,921474.78,29
Madhya Pradesh,2022,Online Banking Fraud,89,53,5.0,59,4969955.31,152
Jharkhand,2019,Card Fraud,10,6,0.0,11,202760.41,16
Arunachal Pradesh,2019,OTP Fraud,4,2,0.0,2,69251.33,6
Nagaland,2023,UPI Fraud,26,13,1.0,20,212940.1,39
Goa,2020,Other,3,2,0.0,2,73067.05,5
Sikkim,2022,Other,2,1,0.0,1,25378.7,3
Andhra Pradesh,2021,OTP Fraud,59,18,2.0,17,618600.49,91
Himachal Pradesh,2024,Other,11,6,1.0,6,193160.11,14
Tripura,2019,UPI Fraud,2,1,0.0,2,13882.93,3
Tamil Nadu,2024,UPI Fraud,650,158,22.0,222,5924367.07,792
Goa,2019,Identity Theft,2,1,0.0,1,187228.72,3
Goa,2021,Identity Theft,5,3,0.0,3,218458.79,6
Uttarakhand,2021,Online Banking Fraud,19,11,1.0,15,813458.2,23
Meghalaya,2020,Other,1,1,0.0,2,11629.46,1
Himachal Pradesh,2024,Identity Theft,12,7,1.0,12,745256.62,18
Jharkhand,2023,Other,17,11,0.0,16,255723.25,24
Andhra Pradesh,2021,Card Fraud,23,13,1.0,11,704702.49,29
Madhya Pradesh,2019,Card Fraud,29,19,2.0,23,764107.49,44
Sikkim,2019,Other,1,1,0.0,1,17151.51,1
Goa,2022,UPI Fraud,23,8,1.0,8,224934.61,38
Rajasthan,2023,Online Banking Fraud,103,58,5.0,106,4715411.56,153
Uttar Pradesh,2024,Online Banking Fraud,310,177,7.0,248,11256870.57,413
Haryana,2024,Card Fraud,101,52,5.0,58,2084266.34,174
Gujarat,2020,Other,22,13,1.0,13,251844.67,27
Andhra Pradesh,2022,OTP Fraud,85,35,3.0,59,1634412.52,112
Jharkhand,2021,Other,7,3,0.0,5,158035.85,9
Uttarakhand,2019,OTP Fraud,17,8,1.0,7,230712.86,24
Maharashtra,2023,Card Fraud,173,116,9.0,151,2801594.79,311
Delhi,2022,Other,58,35,3.0,48,806266.31,70
Karnataka,2022,Card Fraud,90,64,5.0,60,2064766.47,138
Himachal Pradesh,2024,Online Banking Fraud,17,10,1.0,9,987721.27,21
Assam,2019,Online Banking Fraud,17,9,1.0,14,1063546.93,20
Meghalaya,2024,Online Banking Fraud,6,3,0.0,3,349193.89,10
Kerala,2019,UPI Fraud,19,7,1.0,12,115289.03,28
Uttar Pradesh,2023,UPI Fraud,918,334,12.0,494,10700183.84,1574
Chhattisgarh,2020,UPI Fraud,12,5,0.0,7,66020.38,14
Tamil Nadu,2020,Other,30,14,1.0,23,755234.7,43
Sikkim,2020,UPI Fraud,2,1,0.0,2,14692.91,2
Himachal Pradesh,2020,Card Fraud,6,4,0.0,6,169906.84,10
West Bengal,2023,Identity Theft,80,50,5.0,53,6850384.75,139
Rajasthan,2020,OTP Fraud,104,58,4.0,105,975822.13,178
West Bengal,2020,Online Banking Fraud,87,48,6.0,46,6050934.68,154
Bihar,2021,Other,14,7,0.0,9,302664.53,20
Jharkhand,2021,Card Fraud,16,8,0.0,9,483440.73,23
Gujarat,2019,Card Fraud,36,24,2.0,26,1053857.49,61
Tripura,2019,Online Banking Fraud,4,2,0.0,2,216677.67,5
Rajasthan,2021,Card Fraud,54,26,3.0,32,859343.01,76
Tamil Nadu,2024,Identity Theft,95,59,7.0,97,5418000.88,142
Gujarat,2023,Card Fraud,112,66,7.0,67,1943390.81,142
Tripura,2022,Other,3,2,0.0,3,71331.04,4
Bihar,2024,Card Fraud,59,36,1.0,46,1807464.76,77
Pondicherry,2020,Card Fraud,4,2,0.0,2,64485.9,6
Uttarakhand,2019,Identity Theft,5,3,0.0,4,349774.38,7
Rajasthan,2023,OTP Fraud,198,52,9.0,78,2079799.94,245
Manipur,2023,OTP Fraud,11,5,0.0,7,,13
Meghalaya,2022,Other,2,1,0.0,1,39238.43,4
Mizoram,2024,Identity Theft,4,2,0.0,3,204083.49,7
Punjab,2021,Online Banking Fraud,41,18,2.0,24,2231515.68,49
Chhattisgarh,2019,Online Banking Fraud,16,7,1.0,11,620333.24,26
Sikkim,2021,Other,1,0,0.0,0,24272.74,1
Arunachal Pradesh,2020,UPI Fraud,2,1,0.0,1,16815.5,3
Manipur,2024,UPI Fraud,32,15,0.0,13,335882.95,45
Punjab,2021,Card Fraud,24,13,1.0,16,688076.45,37
Assam,2023,Online Banking Fraud,35,15,2.0,27,2658933.18,55
Haryana,2019,OTP Fraud,82,39,3.0,31,724196.97,109
Uttar Pradesh,2019,OTP Fraud,197,80,3.0,108,2744038.07,234
Puducherry,2024,Identity Theft,9,6,1.0,7,481055.28,14
Assam,2019,Identity Theft,6,4,0.0,6,461511.58,10
Manipur,2019,OTP Fraud,5,2,0.0,4,44526.43,6
Maharashtra,2023,Identity Theft,122,68,8.0,122,11466194.33,167
Karnataka,2020,Card Fraud,79,41,4.0,51,1113632.66,96
Puducherry,2024,UPI Fraud,47,21,1.0,26,375085.03,64
Sikkim,2022,UPI Fraud,8,3,0.0,4,80744.57,14
Rajasthan,2021,OTP Fraud,123,60,5.0,78,1295521.91,202
Karnataka,2019,UPI Fraud,40,21,1.0,34,497279.25,62
West Bengal,2020,Identity Theft,33,18,3.0,22,2114267.4,53
Sikkim,2020,Card Fraud,1,1,0.0,1,28351.6,1
Uttar Pradesh,2024,Other,159,89,4.0,124,2077772.78,232
Meghalaya,2022,Card Fraud,4,2,0.0,2,88750.51,6
Tamil Nadu,2024,OTP Fraud,250,143,11.0,139,4022827.76,400
Gujarat,2023,OTP Fraud,178,61,8.0,97,2066749.22,229
Mizoram,2021,Identity Theft,2,1,0.0,1,152412.35,3
Sikkim,2019,OTP Fraud,3,2,0.0,3,53088.64,4
Karnataka,2019,Online Banking Fraud,99,50,5.0,51,7517306.12,161
Odisha,2021,Online Banking Fraud,27,12,2.0,18,976018.63,33
Pondicherry,2020,Other,2,1,0.0,2,39388.61,3
Kerala,2019,Card Fraud,26,18,1.0,15,438379.92,37
Chhattisgarh,2019,Other,4,1,0.0,1,52046.2,5
Jharkhand,2022,OTP Fraud,39,20,1.0,17,505202.07,52
Telangana,2020,Other,34,16,1.0,20,776438.51,59
Delhi,2024,Other,115,64,6.0,92,2061547.47,140
Nagaland,2022,UPI Fraud,11,3,0.0,4,70752.7,13
Uttarakhand,2021,Other,8,3,0.0,5,112456.96,11
Karnataka,2020,Online Banking Fraud,90,66,5.0,58,3644463.59,158
Tamil Nadu,2020,Online Banking Fraud,115,74,6.0,118,4130975.29,142
Pondicherry,2021,Online Banking Fraud,7,4,0.0,4,385922.54,9
Uttar Pradesh,2021,Online Banking Fraud,152,116,4.0,106,6114526.65,258
Karnataka,2021,Other,40,19,2.0,27,826160.15,70
Uttar Pradesh,2020,OTP Fraud,220,99,4.0,118,3242107.1,326
Gujarat,2019,Online Banking Fraud,66,40,3.0,41,4502894.83,90
Manipur,2020,Card Fraud,3,2,0.0,2,61081.99,4
West Bengal,2019,Online Banking Fraud,62,26,4.0,31,2293099.67,100
Mizoram,2023,OTP Fraud,8,3,0.0,4,122302.9,13
Punjab,2019,UPI Fraud,14,8,0.0,8,96604.64,18
Maharashtra,2020,Other,40,21,2.0,22,830525.81,53
Punjab,2021,Other,18,8,1.0,14,274641.01,30
Kerala,2021,Online Banking Fraud,46,27,3.0,24,1904031.77,62
Andhra Pradesh,2022,UPI Fraud,103,40,3.0,71,961867.23,129
Rajasthan,2024,UPI Fraud,539,248,16.0,432,5819172.78,846
Nagaland,2022,Other,2,1,0.0,1,39029.09,3
Tamil Nadu,2020,UPI Fraud,70,32,2.0,48,846297.97,83
Uttarakhand,2020,Identity Theft,6,3,0.0,3,500913.92,8
NCT of Delhi,2020,OTP Fraud,148,68,5.0,104,1439919.6,178
Meghalaya,2021,Online Banking Fraud,3,2,0.0,3,187039.01,5
Arunachal Pradesh,2020,Card Fraud,2,1,0.0,2,34437.44,2
Chhattisgarh,2024,Identity Theft,22,12,1.0,20,1457690.76,35
Andhra Pradesh,2024,Identity Theft,42,25,2.0,34,2868239.38,54
Rajasthan,2023,Identity Theft,68,44,5.0,80,4995630.8,102
Arunachal Pradesh,2023,Identity Theft,3,2,0.0,3,168085.52,4
Goa,2020,OTP Fraud,10,5,1.0,8,131064.92,16
Punjab,2024,Identity Theft,49,31,3.0,33,3096622.1,61
Assam,2020,Other,6,4,0.0,5,110184.47,9
Telangana,2019,UPI Fraud,44,16,1.0,25,444371.16,52
Andhra Pradesh,2021,Identity Theft,19,12,1.0,10,950361.33,30
Punjab,2023,UPI Fraud,244,73,8.0,106,2083997.89,337
Goa,2023,Online Banking Fraud,11,4,1.0,4,393377.43,20
Haryana,2023,Other,60,27,3.0,50,1185121.51,80
Jharkhand,2024,Identity Theft,23,13,1.0,21,1603364.95,30
Chhattisgarh,2020,Identity Theft,7,4,0.0,6,494817.3,9
Gujarat,2021,Other,32,19,2.0,32,776302.03,46
Karnataka,2023,Identity Theft,104,63,6.0,112,9911472.18,153
Assam,2024,UPI Fraud,169,68,5.0,121,1102300.69,202
Karnataka,2023,OTP Fraud,321,65,13.0,80,6080107.36,496
Uttarakhand,2021,OTP Fraud,25,13,1.0,10,352025.57,30
NCT of Delhi,2020,Card Fraud,61,49,3.0,76,1825652.8,76
Uttarakhand,2024,Card Fraud,38,25,2.0,24,954614.78,57
Sikkim,2022,Online Banking Fraud,3,1,0.0,1,145908.11,4
Andhra Pradesh,2022,Card Fraud,36,25,2.0,35,893038.47,43
Andhra Pradesh,2023,Other,30,15,1.0,12,540532.74,37
Goa,2022,OTP Fraud,17,7,1.0,7,204338.67,23
Punjab,2020,Other,13,6,1.0,5,287715.38,19
Bihar,2023,Identity Theft,38,19,1.0,30,2593063.82,68
Punjab,2020,Identity Theft,19,11,1.0,12,1512373.35,30
Rajasthan,2020,Identity Theft,31,16,2.0,29,1423718.65,43
Assam,2023,UPI Fraud,125,49,4.0,62,1383134.66,152
Mizoram,2020,OTP Fraud,5,2,0.0,4,97720.53,9
Tripura,2020,Identity Theft,2,1,0.0,1,171669.27,3
Gujarat,2020,Identity Theft,30,15,2.0,19,2209982.74,52
Rajasthan,2024,Online Banking Fraud,126,77,7.0,111,8681521.81,156
Himachal Pradesh,2020,Other,3,2,0.0,2,56145.89,5
Assam,2019,Card Fraud,10,6,1.0,10,178821.43,16
Delhi,2022,Online Banking Fraud,133,64,7.0,96,5845444.17,239
Meghalaya,2019,OTP Fraud,4,1,0.0,2,40577.94,6
Karnataka,2020,OTP Fraud,144,79,5.0,144,1395372.07,200
Uttar Pradesh,2019,Identity Theft,34,21,1.0,17,1847180.62,45
Jharkhand,2022,UPI Fraud,50,16,1.0,19,602259.63,82
Meghalaya,2019,UPI Fraud,1,0,0.0,0,7973.06,2
Punjab,2019,Online Banking Fraud,33,10,2.0,13,1701404.32,58
Uttar Pradesh,2024,Card Fraud,271,132,8.0,124,5331047.76,371
Andhra Pradesh,2019,OTP Fraud,44,16,1.0,28,554135.83,76
Telangana,2022,Online Banking Fraud,179,91,10.0,114,7875895.67,252
Jharkhand,2021,Identity Theft,10,6,0.0,9,575406.23,15
Himachal Pradesh,2023,UPI Fraud,64,21,2.0,32,408547.31,82
Kerala,2020,Card Fraud,33,19,2.0,34,959766.17,41
Tamil Nadu,2024,Other,88,30,4.0,44,1442752.22,125
Uttar Pradesh,2021,OTP Fraud,181,116,3.0,192,3063003.88,281
Tripura,2021,OTP Fraud,9,5,0.0,5,169524.9,12
Goa,2021,OTP Fraud,9,5,1.0,5,104662.51,15
Assam,2020,Card Fraud,13,7,1.0,6,231634.48,19
Sikkim,2020,Identity Theft,1,1,0.0,2,51059.82,1
Uttarakhand,2023,UPI Fraud,101,42,3.0,46,857423.42,151
Tamil Nadu,2021,Online Banking Fraud,88,54,5.0,72,3048465.45,111
Jharkhand,2023,UPI Fraud,117,60,1.0,93,1255299.17,180
Himachal Pradesh,2020,Online Banking Fraud,10,5,1.0,9,649308.43,18
Kerala,2021,Identity Theft,31,19,2.0,30,2890680.27,39
Maharashtra,2022,Identity Theft,104,60,6.0,85,4485987.02,130
Maharashtra,2021,UPI Fraud,165,77,4.0,89,993032.82,265
Arunachal Pradesh,2020,Other,1,0,0.0,0,19269.31,2
Kerala,2024,OTP Fraud,132,59,5.0,100,1968352.07,187
Uttar Pradesh,2019,Online Banking Fraud,98,55,2.0,103,6273262.85,141
Rajasthan,2021,Online Banking Fraud,64,29,3.0,46,4094798.8,80
Telangana,2019,Card Fraud,61,28,3.0,49,1760595.57,95
Puducherry,2022,Identity Theft,6,3,0.0,3,502691.02,8
Meghalaya,2020,Online Banking Fraud,4,2,0.0,3,247690.78,5
Meghalaya,2023,UPI Fraud,24,11,1.0,17,230596.61,34
Arunachal Pradesh,2024,OTP Fraud,8,4,0.0,5,108233.31,14
Tamil Nadu,2021,OTP Fraud,162,55,6.0,90,2523731.83,215
Goa,2020,Identity Theft,3,2,0.0,2,203286.3,5
Telangana,2020,UPI Fraud,80,32,3.0,38,674657.35,138
Haryana,2021,Other,28,13,1.0,19,535914.56,47
Nagaland,2020,Card Fraud,1,1,0.0,1,17292.92,1
Himachal Pradesh,2019,Card Fraud,6,4,0.0,7,111492.5,8
Madhya Pradesh,2024,UPI Fraud,566,222,15.0,192,5567078.73,724
Kerala,2024,UPI Fraud,342,180,10.0,294,3167411.28,507
Nagaland,2021,Identity Theft,3,2,0.0,3,161485.13,5
Odisha,2023,Other,27,15,2.0,28,554715.98,34
West Bengal,2023,Card Fraud,114,66,8.0,82,2934322.45,154
Odisha,2022,OTP Fraud,74,30,3.0,28,1275640.92,117
Goa,2020,Online Banking Fraud,7,3,1.0,5,486084.94,9
Sikkim,2022,Identity Theft,2,1,0.0,2,170134.93,3
Odisha,2021,Other,10,3,1.0,3,143811.41,18
Maharashtra,2022,UPI Fraud,328,158,10.0,240,3207357.25,392
Puducherry,2023,Card Fraud,9,8,0.0,9,186185.81,14
Jharkhand,2019,Identity Theft,6,3,0.0,5,276887.71,9
Haryana,2024,UPI Fraud,412,255,14.0,444,2384141.26,517
Tripura,2024,Card Fraud,6,4,0.0,5,91178.37,9
Odisha,2023,Identity Theft,28,15,3.0,27,2188911.47,34
Mizoram,2020,Identity Theft,1,1,0.0,1,94909.09,1
Gujarat,2022,Card Fraud,80,46,5.0,65,1926904.65,141
Andhra Pradesh,2022,Online Banking Fraud,44,26,2.0,27,2805788.29,67
Arunachal Pradesh,2019,UPI Fraud,1,0,0.0,0,9553.4,1
Odisha,2019,Other,6,3,0.0,5,66343.19,7
Rajasthan,2020,Online Banking Fraud,95,63,5.0,96,5999197.11,151
Sikkim,2021,Card Fraud,2,2,0.0,2,44209.95,3
Andhra Pradesh,2020,Other,13,7,1.0,8,211580.1,19
Chhattisgarh,2023,Card Fraud,28,17,1.0,19,669444.34,43
Rajasthan,2023,UPI Fraud,372,211,11.0,343,2375290.25,492
Telangana,2022,OTP Fraud,269,86,12.0,101,2802969.69,352
Himachal Pradesh,2021,UPI Fraud,13,6,0.0,6,91737.66,15
Tripura,2024,OTP Fraud,11,4,0.0,5,93550.02,14
Chhattisgarh,2022,UPI Fraud,42,22,1.0,38,268788.66,51
NCT of Delhi,2019,Online Banking Fraud,90,48,5.0,49,5221536.07,109
Puducherry,2024,Online Banking Fraud,10,7,1.0,9,429526.2,16
Bihar,2024,OTP Fraud,109,49,2.0,74,1268919.22,186
West Bengal,2021,UPI Fraud,88,38,3.0,44,654803.77,122
Andhra Pradesh,2020,Online Banking Fraud,35,13,2.0,19,2681516.73,56
Punjab,2023,OTP Fraud,110,43,3.0,51,1804436.68,184
Telangana,2021,UPI Fraud,169,73,4.0,76,1904141.05,281
Madhya Pradesh,2020,OTP Fraud,79,39,3.0,59,963561.23,106
Meghalaya,2020,OTP Fraud,5,2,0.0,3,95136.93,6
Odisha,2021,OTP Fraud,43,20,2.0,36,511508.68,51
Bihar,2024,UPI Fraud,260,119,3.0,108,1591816.48,334
NCT of Delhi,2020,Identity Theft,33,17,3.0,21,2890116.18,43
West Bengal,2023,OTP Fraud,202,92,9.0,99,3124438.07,339
Kerala,2023,Online Banking Fraud,74,37,4.0,63,5248102.52,103
West Bengal,2024,Identity Theft,93,69,7.0,116,8095806.6,125
Haryana,2020,Online Banking Fraud,56,33,4.0,45,2986929.62,86
Bihar,2023,Other,32,13,1.0,20,417560.94,53
West Bengal,2021,Card Fraud,48,23,3.0,20,1351919.66,59
Madhya Pradesh,2019,Online Banking Fraud,38,18,2.0,25,2103698.55,56
Tamil Nadu,2019,Card Fraud,43,23,3.0,23,715316.41,76
Karnataka,2019,OTP Fraud,117,48,5.0,72,2197238.61,141
Goa,2023,UPI Fraud,49,29,2.0,49,308815.02,85
Uttarakhand,2020,Online Banking Fraud,14,7,1.0,13,538287.71,23
Manipur,2020,UPI Fraud,2,1,0.0,1,24181.09,3
West Bengal,2021,Online Banking Fraud,88,43,6.0,79,3446775.96,105
Karnataka,2023,Card Fraud,151,73,11.0,132,3068845.66,221
Goa,2023,OTP Fraud,22,9,1.0,9,195606.68,32
Jharkhand,2019,Online Banking Fraud,17,8,0.0,14,939310.21,22
Manipur,2019,Online Banking Fraud,4,2,0.0,3,276418.05,6
Odisha,2022,Online Banking Fraud,33,21,3.0,30,1358381.12,44
Pondicherry,2019,Online Banking Fraud,5,2,0.0,2,232833.3,9
Rajasthan,2024,OTP Fraud,205,109,8.0,194,3883325.77,333
Telangana,2021,Identity Theft,66,42,4.0,44,3991769.97,95
Maharashtra,2024,Other,127,52,6.0,81,1995657.53,179
Manipur,2022,OTP Fraud,9,5,0.0,7,108019.53,11
Assam,2024,Identity Theft,28,13,2.0,23,1884397.0,44
Arunachal Pradesh,2023,Online Banking Fraud,5,2,0.0,3,358678.07,6
Manipur,2023,Card Fraud,6,4,0.0,5,88332.73,8
NCT of Delhi,2019,UPI Fraud,28,13,1.0,22,235199.87,43
Kerala,2020,Identity Theft,23,12,2.0,16,2019371.88,30
Bihar,2023,Card Fraud,45,25,1.0,44,,80
Andhra Pradesh,2019,Card Fraud,17,11,1.0,18,450168.28,29
West Bengal,2019,Card Fraud,36,19,2.0,20,650204.99,43
Manipur,2020,Other,2,1,0.0,2,25897.76,2
Himachal Pradesh,2022,Online Banking Fraud,13,11,1.0,18,902686.23,19
Andhra Pradesh,2020,Identity Theft,15,10,1.0,12,1361416.03,20
Tripura,2024,Online Banking Fraud,9,5,1.0,4,302087.11,15
Maharashtra,2022,Online Banking Fraud,155,83,8.0,110,6855524.7,277
Sikkim,2024,Online Banking Fraud,4,2,0.0,3,244349.04,7
Madhya Pradesh,2020,Card Fraud,27,16,1.0,24,684523.49,49
Arunachal Pradesh,2022,OTP Fraud,6,2,0.0,3,51768.76,9
Nagaland,2020,Online Banking Fraud,1,1,0.0,1,56650.34,1
Nagaland,2021,Other,1,1,0.0,1,20675.96,1
Meghalaya,2024,UPI Fraud,33,9,1.0,17,414457.22,48
Delhi,2022,Identity Theft,67,37,4.0,70,3697502.84,82
Manipur,2021,Identity Theft,2,1,0.0,1,101755.36,3
Gujarat,2024,Card Fraud,122,82,7.0,82,2565979.79,201
Mizoram,2022,OTP Fraud,8,3,0.0,6,80869.88,11
Sikkim,2019,Card Fraud,2,1,0.0,2,39873.97,2
Sikkim,2024,UPI Fraud,18,5,1.0,7,164511.14,22
Kerala,2020,Online Banking Fraud,49,31,3.0,37,1940273.83,60
Tamil Nadu,2022,Online Banking Fraud,120,76,6.0,78,6725570.91,189
Odisha,2020,Card Fraud,17,9,2.0,12,417007.15,20
Assam,2021,Online Banking Fraud,20,10,1.0,15,916867.07,35
Haryana,2019,UPI Fraud,20,8,1.0,8,129148.38,25
Delhi,2021,Online Banking Fraud,92,40,5.0,57,3209963.31,160
Assam,2020,UPI Fraud,15,7,1.0,13,146505.47,20
Tamil Nadu,2022,Other,58,24,3.0,28,865913.82,98
Kerala,2021,UPI Fraud,66,28,2.0,31,403686.98,90
Goa,2019,Online Banking Fraud,6,3,0.0,5,244247.67,9
Bihar,2022,OTP Fraud,75,30,1.0,51,1343712.05,118
West Bengal,2024,OTP Fraud,186,101,9.0,123,2255740.75,295
Goa,2022,Other,5,3,0.0,4,80898.55,8
Arunachal Pradesh,2020,OTP Fraud,4,2,0.0,4,35060.14,7
Gujarat,2023,Identity Theft,102,71,8.0,122,5535594.44,134
Maharashtra,2020,OTP Fraud,151,81,6.0,151,2595521.88,180
Kerala,2023,Card Fraud,73,43,4.0,39,2019539.17,105
Meghalaya,2021,Card Fraud,3,2,0.0,3,54282.31,4
Madhya Pradesh,2022,UPI Fraud,199,78,6.0,107,1824195.05,241
Jharkhand,2020,OTP Fraud,32,16,1.0,20,519077.32,38
Assam,2024,Online Banking Fraud,35,23,2.0,41,1593227.13,57
Meghalaya,2022,OTP Fraud,8,3,0.0,5,91201.65,11
Maharashtra,2021,Card Fraud,90,51,5.0,65,1613325.62,152
West Bengal,2024,UPI Fraud,467,217,17.0,357,5521193.67,654
Mizoram,2019,Other,1,1,0.0,1,12998.74,1
Meghalaya,2024,Identity Theft,4,2,0.0,2,198610.04,5
Tamil Nadu,2021,Other,39,21,2.0,32,667762.12,51
Arunachal Pradesh,2021,Card Fraud,3,2,0.0,3,65175.49,5
Goa,2024,Identity Theft,11,7,1.0,11,1004797.84,19
Manipur,2023,Identity Theft,4,2,0.0,2,309695.95,7
Uttarakhand,2021,Identity Theft,9,5,1.0,5,864431.63,12
Gujarat,2021,Identity Theft,39,23,2.0,23,3763793.53,49
West Bengal,2019,UPI Fraud,25,11,1.0,11,231091.2,44
Mizoram,2024,UPI Fraud,24,7,1.0,12,248953.79,41
NCT of Delhi,2019,Other,28,13,1.0,14,328586.54,49
Mizoram,2020,Other,1,1,0.0,1,23103.26,2
Chhattisgarh,2022,Online Banking Fraud,21,10,1.0,11,1595009.6,38
Bihar,2020,OTP Fraud,49,20,1.0,28,574521.42,86
Arunachal Pradesh,2020,Identity Theft,1,1,0.0,2,61864.62,1
Tamil Nadu,2022,Identity Theft,81,45,5.0,84,4195423.3,136
Rajasthan,2021,Other,31,16,1.0,17,651574.15,40
Chhattisgarh,2023,Other,12,7,1.0,12,230621.16,22
